song_title,artist,duration(min),acousticness,loudness,speechiness,tempo
Grinder,Gary Clark Jr.,3.37,0.00855,-3.747,0.0363,161.933
Choices (Yup),E-40,4.55,0.128,-7.301,0.374,119.999
Two Brothers,Hanni El Khatib,5.79,0.088,-7.493,0.0422,109.99
Walkabout (W/ Noah Lennox),Atlas Sound,3.98,0.0406,-6.247,0.0667,121.977
Ferus Gallery,Allah-Las,3.6,0.0377,-7.595,0.0301,131.588
Everybody Loves The Sunshine,Roy Ayers Ubiquity,3.96,0.021,-7.206,0.0378,80.694
Number One,Tuxedo,4.21,0.0466,-3.458,0.0597,111.044
Sick Beat,Kero Kero Bonito,2.98,0.16,-6.353,0.117,98.977
She a Go (feat. Spinn & Taso),DJ Rashad,3.63,0.00266,-7.631,0.199,119.914
Lost You,Zeds Dead,3.64,0.0833,-4.285,0.0398,126.012
Norf Norf,Vince Staples,3.05,0.445,-6.578,0.0661,100.039
Eleven 11: / 11,Rob Curly,3.83,0.304,-7.882,0.152,127.026
Buffalo,Toro y Moi,3.3,0.109,-7.207,0.0265,99.999
Talk About,Les Sins,3.91,0.0152,-5.766,0.0822,124.998
Probably Nu It,Tree,2.37,0.273,-7.324,0.305,119.969
Mamacita,Travis Scott,4.57,0.0146,-6.21,0.0819,115.021
Star,Gary Clark Jr.,4.73,0.0573,-5.916,0.0468,84.452
Gooey,Glass Animals,4.82,0.726,-13.463,0.0433,182.969
Walk On By - Single Version,Isaac Hayes,4.55,0.0487,-9.531,0.0488,145.556
Omen - Radio Edit,Disclosure,3.28,0.111,-4.838,0.203,105.967
Champagne Coast,Blood Orange,4.87,0.0207,-12.428,0.0658,122.663
Running Back To You,The Juan Maclean,7.06,0.102,-7.756,0.0441,94.967
BKNY,Fat Tony,4.35,0.00757,-3.815,0.0985,142.019
Pains,Silk Rhodes,3.19,0.01,-5.571,0.0608,140.804
Night Drive,Part Time,3.73,2.24E-05,-10.41,0.0339,122.199
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,2.94,0.038,-7.533,0.0434,81.998
Indian Food,Dumbo Gets Mad,3.56,0.765,-4.903,0.0528,86.808
Childs Play (feat. Chance the Rapper),SZA,3.6,0.775,-9.044,0.0402,99.995
Lets Start the Dance,Bohannon,5.86,0.000429,-8.692,0.05,118.086
Rollerskate,Matias Aguayo,6.15,0.323,-12.223,0.113,120.973
Outro,M83,4.12,0.0301,-11.276,0.0339,108.915
Grindin’ My Whole Life,HS87,5.37,0.268,-6.128,0.179,115.032
Slyd,!!!,4.25,0.0626,-8.734,0.0995,120.004
The Moment,Tame Impala,4.26,0.000239,-6.005,0.0674,120.462
R.I.C.O. (feat. Drake),Meek Mill,3.29,0.317,-6.941,0.327,167.909
Black And White,Parquet Courts,3.05,0.00605,-4.211,0.0916,174.205
Never Never Gonna Give Ya Up,Barry White,4.84,0.0818,-10.918,0.101,85.338
Wait & See,Holy Ghost!,3.66,0.0021,-5.015,0.0331,119.998
Wait for a Minute,tUnE-yArDs,3.9,0.016,-7.081,0.0388,111.038
5ft7,Tonstartssbandht,3.43,0.0385,-9.297,0.0326,76.467
200 Press,James Blake,6.22,0.304,-9.082,0.0416,126.465
Huarache Lights,Hot Chip,5.49,0.113,-7.168,0.0317,113.507
Leave House,Caribou,5.21,0.0414,-8.394,0.0971,137.595
"Sweet Power, Your Embrace",James Mason,5.3,0.704,-9.433,0.0377,110.761
Hunger Of The Pine,alt-J,5,0.785,-9.572,0.0258,93.618
Money Money,Horace Andy,2.35,0.629,-10.829,0.264,75.286
Symptom - Original Mix,Deapmash,3.53,0.0167,-8.083,0.0677,128.015
I'll Do a Little Bit More,The Olympics,2.62,0.391,-5.293,0.0377,141.655
Who Is He And What Is He To You,Creative Source,11.72,0.0301,-14.157,0.052,119.674
Bustin' Loose,Chuck Brown and the Soul Searchers,7.71,0.27,-7.031,0.0623,111.457
I Wish,Stevie Wonder,4.23,0.107,-9.621,0.0564,105.909
Baby,Donnie & Joe Emerson,4.18,0.96,-11.627,0.037,92.187
More Bounce To The Ounce,Zapp,5.19,0.124,-8.623,0.0904,105.266
Outlaw,War,5.03,0.0245,-6.97,0.0599,130.268
Walking Into Sunshine,Central Line,7.9,0.0194,-8.35,0.127,112
Pyramids,Frank Ocean,9.88,0.0129,-6.111,0.0462,107.998
Lazuli,Beach House,5.03,0.0106,-5.791,0.0302,219.331
Oblivion,Grimes,4.19,0.115,-8.838,0.0338,155.974
Obedear,Purity Ring,3.49,0.195,-5.643,0.15,195.978
Flutes,Hot Chip,7.09,0.034,-6.351,0.0322,118.006
Club Rez,Girl Unit,5.27,0.0079,-10.026,0.0588,134.981
Cry Like A Ghost,Passion Pit,4.39,0.00525,-7.841,0.0353,100.036
Chained,The xx,2.79,0.482,-13.662,0.0409,118.994
Disparate Youth,Santigold,4.75,0.0124,-4.056,0.0404,152.032
Cheap Beer,FIDLAR,2.36,0.000199,-3.993,0.0567,186.287
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,5.23,0.119,-7.837,0.432,74.04
Origins,Tennis,3.47,0.0463,-4.659,0.0284,113.907
Affection,Crystal Castles,2.61,0.0602,-7.165,0.0501,124.654
Comeback Kid,Sleigh Bells,3.01,0.00914,-5.464,0.098,159.939
Losing You,Solange,4.34,0.0555,-6.175,0.127,113.997
Grown Up,Danny Brown,2.33,0.132,-6.449,0.26,93.603
"It's Not My Fault, I'm Happy",Passion Pit,5.09,0.0101,-5.571,0.0337,104.981
How Deep Is Your Love?,The Rapture,6.46,0.000613,-3.948,0.0583,122.316
Are you... Can you... Were you? (Felt),Shabazz Palaces,4.8,0.0571,-9.971,0.271,82.738
Second Song,TV On The Radio,4.34,0.0212,-5.307,0.0367,99.999
Mornin',Star Slinger,2.2,0.459,-5.482,0.401,182.13
Before,Washed Out,4.77,0.198,-9.728,0.04,87.569
Midnight City,M83,4.08,0.0198,-13.742,0.0341,104.996
Lonely Boy,The Black Keys,3.23,0.00417,-7.837,0.068,166.3
Caffeinated Consciousness,TV On The Radio,3.34,0.00529,-3.909,0.0511,94.057
Wild Window,Fool's Gold,2.95,0.0039,-4.573,0.0376,114.902
Polish Girl,Neon Indian,4.4,0.00501,-4.158,0.0369,111.98
Calgary,Bon Iver,4.17,0.929,-11.488,0.0379,119.951
Civilization,Justice,4.18,0.00145,-5.296,0.0345,111.984
Headlines,Drake,3.95,0.369,-7.382,0.106,152.009
Michael Jackson,Das Racist,4.28,0.00096,-5.065,0.377,151.817
Need You Now,Cut Copy,6.16,0.0244,-5.169,0.0358,122.3
Abducted,Cults,2.88,0.00632,-3.882,0.082,149.812
Gucci Gucci,Kreayshawn,3.12,0.158,-2.91,0.0662,77.516
Eyes Be Closed,Washed Out,4.79,0.00441,-7.212,0.0449,89.969
Echoes,Washed Out,4.14,0.0729,-10.475,0.0567,120.007
The Daily Mail,Radiohead,3.63,0.652,-7.102,0.0385,116.846
Civilization,Justice,4.18,0.00091,-5.002,0.0489,112.065
Punch Drunk Love,Teams vs. Star Slinger,3.54,0.126,-3.713,0.078,144.001
Principles,Benoit & Sergio,6.92,0.0184,-8.225,0.0538,126.024
Slow Peels,Com Truise,4.62,0.0914,-10.651,0.257,173.937
Dead Wrong,Hanni El Khatib,3.47,0.154,-8.06,0.24,137.131
Do It Roger,Zapp,5.29,0.386,-9.856,0.054,108.274
Pharaohs (feat. Roses Gabor),SBTRKT,3.64,0.00983,-8.507,0.0569,127.014
No Fun,The Stooges,5.31,0.00215,-5.056,0.0287,122.494
Computer Love,Zapp,4.71,0.676,-5.851,0.133,84.543
Dutchie Courage,Star Slinger,3,0.0693,-2.762,0.119,164.111
Osaka Loop Line,Discovery,4.03,0.0961,-6.667,0.339,155.909
White Horse,Laid Back,3.96,0.00254,-10.978,0.0567,123.289
Abataka - Original Mix,Ida Engberg,8.67,0.394,-4.582,0.0549,125.439
Danger! High Voltage (Soulchild Radio Mix),Electric Six,3.58,2.15E-05,-4.718,0.0297,123.017
Say Please,Teams vs. Star Slinger,3.46,0.185,-6.691,0.0608,91.96
You Don't Love Me (No No No),Dawn Penn,3.55,0.00649,-6.007,0.119,81.004
The Yes Strut,Teams vs. Star Slinger,2.87,0.00947,-8.045,0.0581,94.988
86 Carrot Gold,Teams vs. Star Slinger,3.06,0.0507,-7.991,0.542,172.215
Close to Me,Teams vs. Star Slinger,1.68,0.738,-5.382,0.316,95.009
How Do You See Me Now,Zdar,4.33,0.000419,-6.158,0.0661,104.63
See Me Now,Cassius,3.86,0.00176,-7.734,0.0614,104.651
Every Freakin' - DJ Ayres remix,DJ Eleven,3.35,0.02,-5.363,0.311,134.02
Dance Our Way,DJ Eleven,3.3,0.00402,-10.236,0.0708,125.992
Flashing Lights,DJ Ayres,3.43,0.00241,-9.141,0.105,126.018
The Daily Mail,Radiohead,3.63,0.652,-7.102,0.0385,116.845
Bizness,tUnE-yArDs,4.4,0.196,-5.964,0.0509,111.01
Long Heels Red Bottoms,Trina,3.63,0.0305,-4.898,0.328,64.992
I Wanna Be Your Dog,The Stooges,3.14,0.0229,-8.708,0.0354,120.722
Jealousy,Martin Solveig,5.29,0.000963,-7.28,0.0564,125.025
Embody,Sebastian,3.76,0.233,-2.545,0.252,103.127
Love In Motion - feat. Mayer Hawthorne,Sebastian,3.1,0.0175,-3.741,0.214,100.006
Save the World,Swedish House Mafia,6.85,0.00314,-6.216,0.112,126.995
Myth,Beach House,4.31,0.0369,-6.238,0.0292,142.008
Ready 2 Go,Martin Solveig,4.42,0.0152,-5.041,0.0445,128.041
We Are Young - The Popopopops Remix,Juveniles,3.92,0.00206,-5.055,0.0397,173.964
Bop Gun (One Nation) - Radio Edit,Ice Cube,4.79,0.429,-4.382,0.0795,103.072
La Funky,Destructo feat. Oliver,4.67,0.000407,-4.833,0.0509,124.989
In My Mind (Axwell Remix),Ivan Gough & Feenixpawl feat. Georgi Kay,6.68,0.0401,-5.19,0.0922,127.994
On'n'On - Ruined by Rick Rubin,Justice,3.97,0.000299,-6.847,0.0318,98.002
Don't Die,Killer Mike,4.14,0.0193,-7.781,0.173,90.772
Van Vogue,Azealia Banks,5.95,0.122,-9.181,0.355,128.001
How Do You Do?,Hot Chip,4.76,0.0998,-5.079,0.0357,124.954
Night And Day,Hot Chip,4.51,0.0285,-5.614,0.0382,125.988
Don't Deny Your Heart,Hot Chip,4.52,0.0132,-5.074,0.0348,121.989
Focused - feat. Kid Cudi,Wale,3.54,0.275,-5.067,0.0554,123.094
Neptune,Lemonade,4.04,0.000483,-7.481,0.0335,169.904
"Function - feat. YG, IAmSu & Problem",E-40,4.32,0.00138,-5.239,0.232,100.032
Didn't You,Cloud Nothings,3.97,0.0086,-10.022,0.0396,80.047
Search Party,Small Black,2.88,0.000248,-5.448,0.0375,105.128
Mi Swing es Tropical,Nickodemus,3.72,0.0227,-9.243,0.0819,99.995
Stock Exchange,Miss Kittin,5.78,0.00569,-11,0.0699,129.87
Changes,Crazy P,5.62,0.0365,-9.481,0.0882,120.761
Play This (Also),J Rocc,5.77,0.289,-6.238,0.0998,125.371
Obedear,Purity Ring,3.55,0.232,-5.775,0.0966,195.972
Slow Down,Poolside,4.75,0.0989,-5.882,0.0535,81.997
I Don't Like,Chief Keef,4.93,0.000869,-3.486,0.0586,132.033
Sleeping Ute,Grizzly Bear,4.59,0.148,-6.258,0.0364,102.532
Hands On the Wheel (feat. a$Ap Rocky),ScHoolboy Q,3.29,0.0173,-7.44,0.103,127.813
